,STNAME,CTYNAME,Year,Population
3357,California,Placer County,POPESTIMATE2015,372841
1862,New York,Orange County,CENSUS2010POP,372813
8399,Ohio,Stark County,POPESTIMATE2019,370606
8563,Pennsylvania,Lehigh County,POPESTIMATE2019,369318
2050,Ohio,Butler County,CENSUS2010POP,368130
4924,New Jersey,Mercer County,POPESTIMATE2015,368124
8741,Tennessee,Hamilton County,POPESTIMATE2019,367804
7592,Michigan,Washtenaw County,POPESTIMATE2019,367601
8065,New Jersey,Mercer County,POPESTIMATE2019,367430
5063,North Carolina,Forsyth County,POPESTIMATE2015,367365
3838,Indiana,Allen County,POPESTIMATE2015,367362
6634,Florida,Lake County,POPESTIMATE2019,367118
1783,New Jersey,Mercer County,CENSUS2010POP,366513
6641,Florida,Marion County,POPESTIMATE2019,365579
2307,Pennsylvania,Westmoreland County,CENSUS2010POP,365169
4451,Michigan,Washtenaw County,POPESTIMATE2015,362975
8817,Texas,Bell County,POPESTIMATE2019,362924
3499,Florida,Manatee County,POPESTIMATE2015,362548
8981,Texas,Nueces County,POPESTIMATE2019,362294
5367,Oregon,Lane County,POPESTIMATE2015,361946
5840,Texas,Nueces County,POPESTIMATE2015,360504
1573,Missouri,St. Charles County,CENSUS2010POP,360485
5422,Pennsylvania,Lehigh County,POPESTIMATE2015,359710
5448,Pennsylvania,Westmoreland County,POPESTIMATE2015,356923
7596,Minnesota,Anoka County,POPESTIMATE2019,356921
6561,Colorado,Larimer County,POPESTIMATE2019,356899
3470,Florida,Collier County,POPESTIMATE2015,356041
9063,Utah,Davis County,POPESTIMATE2019,355481
697,Indiana,Allen County,CENSUS2010POP,355329
8622,South Carolina,Horry County,POPESTIMATE2019,354081
5600,Tennessee,Hamilton County,POPESTIMATE2015,353690
3185,Alabama,Madison County,POPESTIMATE2015,352977
9121,Virginia,Chesterfield County,POPESTIMATE2019,352802
2226,Oregon,Lane County,CENSUS2010POP,351715
6544,Colorado,Douglas County,POPESTIMATE2019,351154
1922,North Carolina,Forsyth County,CENSUS2010POP,350670
2324,South Carolina,Charleston County,CENSUS2010POP,350209
2281,Pennsylvania,Lehigh County,CENSUS2010POP,349497
8589,Pennsylvania,Westmoreland County,POPESTIMATE2019,348899
216,California,Placer County,CENSUS2010POP,348432
8512,Oregon,Marion County,POPESTIMATE2019,347818
5682,Texas,Brazoria County,POPESTIMATE2015,345227
1310,Michigan,Washtenaw County,CENSUS2010POP,344791
4455,Minnesota,Anoka County,POPESTIMATE2015,344176
1147,Louisiana,Orleans Parish,CENSUS2010POP,343829
3500,Florida,Marion County,POPESTIMATE2015,342182
8887,Texas,Galveston County,POPESTIMATE2019,342139
2699,Texas,Nueces County,CENSUS2010POP,340223
7006,Indiana,Hamilton County,POPESTIMATE2019,338011
2459,Tennessee,Hamilton County,CENSUS2010POP,336463
5676,Texas,Bell County,POPESTIMATE2015,336076
8196,North Carolina,Cumberland County,POPESTIMATE2019,335509
5980,Virginia,Chesterfield County,POPESTIMATE2015,334915
44,Alabama,Madison County,CENSUS2010POP,334811
5922,Utah,Davis County,POPESTIMATE2015,334597
3420,Colorado,Larimer County,POPESTIMATE2015,333303
8783,Tennessee,Rutherford County,POPESTIMATE2019,332285
359,Florida,Marion County,CENSUS2010POP,331298
5055,North Carolina,Cumberland County,POPESTIMATE2015,331203
1314,Minnesota,Anoka County,CENSUS2010POP,330844
9143,Virginia,Henrico County,POPESTIMATE2019,330818
4931,New Jersey,Somerset County,POPESTIMATE2015,329626
5371,Oregon,Marion County,POPESTIMATE2015,329060
8072,New Jersey,Somerset County,POPESTIMATE2019,328934
6656,Florida,St. Lucie County,POPESTIMATE2019,328297
6532,Colorado,Boulder County,POPESTIMATE2019,326196
8152,New York,Rockland County,POPESTIMATE2019,325789
7486,Maryland,Howard County,POPESTIMATE2019,325690
3493,Florida,Lake County,POPESTIMATE2015,325154
6588,Colorado,Weld County,POPESTIMATE2019,324492
6002,Virginia,Henrico County,POPESTIMATE2015,324375
3508,Florida,Osceola County,POPESTIMATE2015,323736
1790,New Jersey,Somerset County,CENSUS2010POP,323444
7307,Kentucky,Fayette County,POPESTIMATE2019,323152
5011,New York,Rockland County,POPESTIMATE2015,322919
358,Florida,Manatee County,CENSUS2010POP,322833
3403,Colorado,Douglas County,POPESTIMATE2015,322025
329,Florida,Collier County,CENSUS2010POP,321520
8202,North Carolina,Durham County,POPESTIMATE2019,321488
